Source,Target,MutualScore,A_to_B_avg,B_to_A_avg
CY,ES,6.7,3.49,3.21
CH,SM,6.7,0.7,6.0
BE,TR,6.69,4.52,2.17
BA,NL,6.69,1.4,5.29
MT,RS,6.67,3.87,2.8
LU,PT,6.65,3.19,3.45
HU,MD,6.64,4.18,2.45
CY,GB,6.63,2.29,4.34
LT,MD,6.6,3.47,3.13
IS,LT,6.58,3.35,3.23
FI,MT,6.56,2.74,3.82
CZ,LV,6.56,4.56,2.0
AL,FR,6.55,3.71,2.83
NO,SI,6.54,1.22,5.32
NO,SM,6.54,0.18,6.36
HU,SI,6.53,3.73,2.8
EE,MD,6.52,2.29,4.22
MD,PL,6.52,1.6,4.92
GE,SM,6.52,4.7,1.82
CS,MD,6.5,5.5,1.0
BA,SM,6.5,5.0,1.5
AU,LU,6.5,5.0,1.5
AL,IL,6.49,5.72,0.76
BA,DE,6.48,1.83,4.65
HU,IE,6.47,4.0,2.47
AD,GR,6.47,5.67,0.8
AL,SI,6.47,2.06,4.41
HU,TR,6.46,3.33,3.12
BA,BG,6.45,2.57,3.88
ES,FR,6.44,3.19,3.24
AT,MD,6.41,4.54,1.87
AZ,CH,6.41,4.85,1.56
HR,NL,6.4,3.44,2.96
FR,PL,6.4,3.92,2.48
CY,LT,6.4,4.05,2.35
FR,RU,6.39,3.52,2.87
AL,MT,6.39,3.69,2.71
FI,SM,6.38,2.0,4.38
IT,NO,6.36,3.36,3.0
FI,IT,6.36,4.58,1.77
DE,IE,6.36,3.3,3.05
AZ,ES,6.36,1.82,4.53
CH,DK,6.33,1.81,4.52
FR,SE,6.33,3.3,3.03
LV,NL,6.33,4.65,1.68
AZ,IE,6.33,3.08,3.25
MD,SK,6.33,2.33,4.0
CY,EE,6.31,3.12,3.19
IL,PT,6.3,1.38,4.92
HR,LT,6.3,3.48,2.82
AZ,SI,6.29,2.69,3.6
IT,TR,6.28,1.53,4.75
BG,SI,6.28,1.56,4.73
AT,DK,6.27,3.06,3.21
HR,SE,6.27,3.6,2.67
ME,TR,6.25,3.75,2.5
DE,NL,6.24,3.49,2.75
FI,GB,6.22,2.86,3.36
DK,SI,6.22,1.09,5.12
GR,PT,6.21,2.77,3.44
GB,IS,6.2,4.28,1.92
DE,HU,6.2,4.79,1.41
AL,NL,6.2,5.38,0.82
AL,UA,6.19,5.05,1.13
AT,AZ,6.18,4.18,2.0
AL,RU,6.16,4.8,1.36
BE,IT,6.13,3.77,2.36
IS,RU,6.12,4.52,1.6
AL,AM,6.12,5.0,1.12
BE,GB,6.1,3.2,2.89
IS,IT,6.09,3.09,3.0
PL,RU,6.09,4.21,1.88
AT,GR,6.08,2.0,4.08
CY,ME,6.08,0.75,5.33
GB,YU,6.07,2.56,3.52
IS,MD,6.06,3.06,3.0
FR,RO,6.05,4.7,1.35
LV,SI,6.05,2.17,3.88
DE,ES,6.02,2.13,3.89
CY,HU,6.02,2.88,3.14
CH,ES,6.0,3.2,2.8
GB,PT,6.0,2.46,3.54
MA,SE,6.0,6.0,0.0
BE,SM,5.97,1.67,4.31
AT,DE,5.96,3.04,2.92
FR,IE,5.95,2.49,3.46
CH,RO,5.95,1.74,4.21
NL,SI,5.94,1.5,4.44
DE,LV,5.94,3.74,2.2
IT,SE,5.93,3.29,2.64
IE,IS,5.93,2.41,3.52
HR,PT,5.92,3.4,2.52
FI,MD,5.9,3.24,2.67
MK,SE,5.89,4.6,1.29
AT,LV,5.89,2.73,3.16
GR,MC,5.88,2.0,3.88
BA,DK,5.87,0.8,5.07
DE,IT,5.84,3.41,2.43
HR,TR,5.84,2.95,2.89
EE,RS,5.84,1.38,4.47
GR,SK,5.83,1.4,4.43
CZ,RO,5.83,1.67,4.17
CZ,GB,5.83,3.0,2.83
BE,SI,5.82,1.04,4.78
HU,PT,5.82,2.46,3.36
BE,MD,5.81,2.88,2.93
BE,ES,5.8,2.77,3.03
MD,NL,5.8,2.69,3.11
BG,ME,5.8,0.0,5.8
GE,HU,5.8,2.55,3.25
CZ,FR,5.79,2.69,3.1
DE,PT,5.78,2.38,3.4
GR,NO,5.78,2.51,3.27
HU,MT,5.77,3.5,2.27
AL,ES,5.77,3.71,2.05
AT,FR,5.76,3.2,2.57
GB,MC,5.75,2.29,3.46
DE,GB,5.73,3.11,2.62
AD,SE,5.73,5.33,0.4
MD,SI,5.73,1.33,4.4
AM,EE,5.73,4.07,1.67
HR,NO,5.71,3.86,1.85
AT,BY,5.7,2.5,3.2
DE,FR,5.68,3.18,2.49
ES,MT,5.68,3.41,2.27
GB,GR,5.68,3.66,2.02
GR,HR,5.68,2.45,3.22
HU,ME,5.68,0.57,5.11
AD,RO,5.67,5.67,0.0
AD,MC,5.67,5.67,0.0
AM,DE,5.67,1.0,4.67
DE,NO,5.66,3.62,2.03
BY,IS,5.66,4.08,1.58
BY,SE,5.64,5.33,0.31
GR,PL,5.62,2.54,3.08
EE,FR,5.62,2.83,2.79
FI,GR,5.61,2.85,2.76
SE,TR,5.61,2.76,2.85
EE,SI,5.61,1.78,3.83
