Source,Target,TotalPoints,Encounters,AvgPointsPerEncounter
GR,MT,104,26,4.0
BA,MT,68,17,4.0
HR,CY,108,27,4.0
HR,LU,12,3,4.0
HU,IE,48,12,4.0
FR,HU,68,17,4.0
NO,RU,88,22,4.0
HU,HR,44,11,4.0
BE,HU,52,13,4.0
CS,RU,12,3,4.0
CS,RO,12,3,4.0
AD,IS,24,6,4.0
MK,MD,56,14,4.0
BG,CS,4,1,4.0
BG,HR,44,11,4.0
BY,RS,44,11,4.0
ME,BY,24,6,4.0
UA,CZ,24,6,4.0
AZ,BA,24,6,4.0
SM,HR,28,7,4.0
SK,DK,16,4,4.0
SK,MD,16,4,4.0
AU,IT,40,10,4.0
CZ,IT,40,10,4.0
AU,GB,40,10,4.0
LV,LU,8,2,4.0
LT,LU,8,2,4.0
